,instance,nnodes,nlps,stime,gap,ndomchgs,ncutoffs,walltime,proctime,objval
489,"[[0. 0. 1. ... 1. 0. 0.]
 [1. 0. 0. ... 1. 0. 0.]
 [1. 0. 1. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 0.]
 [1. 0. 0. ... 0. 1. 1.]
 [1. 0. 0. ... 0. 0. 1.]]",1,15,0.18,0.0,0,0,0.179822027683258,0.1798252680000018,25.0
490,"[[1. 0. 0. ... 0. 1. 1.]
 [0. 1. 0. ... 1. 1. 0.]
 [1. 0. 0. ... 0. 0. 0.]
 ...
 [1. 0. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 1. 0.]]",1,9,0.15,0.0,0,0,0.1542924903333187,0.1542948599999931,44.0
491,"[[0. 1. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 0. 1.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 1. ... 0. 0. 0.]
 [0. 1. 0. ... 1. 0. 0.]
 [0. 0. 1. ... 0. 0. 1.]]",1,45,0.32,0.0,0,0,0.3232868630439043,0.3232917140000069,34.0
492,"[[0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 1. 1. 1.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [1. 0. 0. ... 1. 1. 0.]
 [1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 1. 1. 1.]]",1,27,0.27,0.0,0,1,0.2838235888630152,0.2838252899999958,20.0
493,"[[0. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 1. 1.]
 [0. 1. 0. ... 0. 0. 1.]
 ...
 [0. 0. 1. ... 1. 0. 1.]
 [0. 1. 0. ... 0. 1. 0.]
 [1. 0. 0. ... 1. 0. 0.]]",1,5,0.06,0.0,0,0,0.0609222520142793,0.0609260319999975,23.0
494,"[[1. 0. 0. ... 1. 1. 0.]
 [1. 0. 0. ... 1. 0. 0.]
 [0. 0. 1. ... 1. 0. 0.]
 ...
 [1. 0. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 1. 0.]
 [0. 0. 1. ... 0. 0. 0.]]",1,1,0.02,0.0,0,0,0.0151048246771097,0.0151074460000018,17.0
495,"[[1. 0. 0. ... 1. 1. 0.]
 [1. 0. 0. ... 1. 0. 0.]
 [0. 1. 0. ... 1. 1. 0.]
 ...
 [0. 0. 1. ... 1. 0. 0.]
 [1. 0. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 0. 0.]]",1,51,0.45,0.0,1,1,0.4619751553982496,0.46196905299999,31.0
496,"[[0. 0. 1. ... 0. 0. 0.]
 [0. 1. 0. ... 1. 0. 0.]
 [1. 0. 0. ... 1. 0. 1.]
 ...
 [1. 0. 0. ... 1. 1. 0.]
 [0. 0. 0. ... 1. 0. 1.]
 [0. 1. 0. ... 1. 0. 0.]]",1,37,0.31,0.0,0,0,0.3175598513334989,0.3175639299999915,30.0
497,"[[0. 1. 0. ... 0. 1. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 1. 1. 1.]
 ...
 [1. 0. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 [1. 0. 0. ... 1. 0. 0.]]",1,3,0.04,0.0,0,0,0.0411451794207096,0.0411480409999995,16.0
498,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 1. 0.]
 [0. 1. 1. ... 1. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 1. ... 1. 0. 0.]
 [0. 1. 1. ... 1. 0. 0.]]",1,1,0.02,0.0,0,0,0.0157147049903869,0.015716948000005,11.0
