policy;seed;type;instance;nnodes;nlps;stime;gap;status;ndomchgs;ncutoffs;walltime;proctime;objval;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_36.lp;3162;3961;72.1;0.0;optimal;292;0;73.3443724643439;73.34378605500024;201.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_37.lp;587;905;35.18;0.0;optimal;240;0;35.71164757013321;35.70832282699985;209.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_38.lp;7369;8625;128.45;0.0;optimal;419;0;130.62070323340595;130.6192641839998;205.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_39.lp;304;545;26.61;0.0;optimal;168;0;26.928508937358856;26.9245022959999;190.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_40.lp;35;187;12.05;0.0;optimal;74;1;12.221541507169604;12.216124857000068;177.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_41.lp;309;526;25.33;0.0;optimal;150;0;25.660993460565805;25.660795201000383;205.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_42.lp;155;392;20.07;0.0;optimal;136;0;20.291197864338756;20.290910481000083;216.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_43.lp;1430;2005;44.98;0.0;optimal;293;0;45.81684976071119;45.813664195;205.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_44.lp;253;460;16.45;0.0;optimal;140;0;16.78325112722814;16.782715199999984;183.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_45.lp;3720;4687;75.59;0.0;optimal;434;0;76.88434893079102;76.88316106799994;201.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_46.lp;759;1131;30.25;0.0;optimal;285;0;30.80216995626688;30.786908984000092;187.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_47.lp;13;123;10.55;0.0;optimal;39;1;10.68109953776002;10.672086969000247;193.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_48.lp;351;609;23.96;0.0;optimal;190;0;24.332760831341147;24.32955254000035;184.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_49.lp;6164;7471;132.18;0.0;optimal;503;0;134.17755830660462;134.17555982799968;247.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_50.lp;3676;4510;75.19;0.0;optimal;442;0;76.49065425619483;76.48946182899999;235.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_51.lp;149;344;20.66;0.0;optimal;139;0;21.00767394527793;21.00756068999999;184.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_52.lp;485;795;29.06;0.0;optimal;237;1;29.477387752383947;29.47571987399988;216.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_53.lp;119;272;13.41;0.0;optimal;94;0;13.543269198387861;13.543230042000232;184.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_54.lp;3053;3798;69.35;0.0;optimal;414;0;70.53158706612885;70.51521850200015;227.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_55.lp;3462;4380;78.52;0.0;optimal;413;0;79.6725695822388;79.66383344199994;219.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_56.lp;471;755;31.69;0.0;optimal;191;0;32.17908011935651;32.178348523000295;225.0;
