policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,objval
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_35.lp,1,27,0.25,0.0,optimal,0,0,0.25967954471707344,0.2596901300000001,28.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_36.lp,3,54,0.44,0.0,optimal,3,1,0.45471640303730965,0.45471033000000016,35.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_37.lp,1,1,0.01,0.0,optimal,0,0,0.01425248384475708,0.014255204000000354,19.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_38.lp,1,28,0.26,0.0,optimal,0,0,0.2631383314728737,0.26314305499999957,25.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_39.lp,1,8,0.1,0.0,optimal,0,1,0.10398457199335098,0.10398480499999962,22.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_40.lp,1,2,0.04,0.0,optimal,0,0,0.04438989609479904,0.044365614000000164,20.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_41.lp,1,12,0.19,0.0,optimal,0,0,0.19053181074559689,0.19053568600000048,30.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_42.lp,1,4,0.1,0.0,optimal,0,0,0.09856200404465199,0.09856481800000161,22.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_43.lp,1,22,0.33,0.0,optimal,0,0,0.3443392366170883,0.34432344199999854,30.000000000000007
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_44.lp,1,1,0.01,0.0,optimal,0,0,0.017664967104792595,0.017666839000000323,12.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_45.lp,1,2,0.05,0.0,optimal,0,0,0.044175319373607635,0.044178450000000424,29.999999999999996
